,names,logfoldchanges,pvals_adj,group
92,Icosl,0.21023753,1.4586565680569593e-05,near-TLS
93,Tgfb1,0.19807068,4.0167672192575375e-05,near-TLS
94,Tnc,0.19351164,6.447902227769411e-05,near-TLS
95,Flt3l,0.19810922,6.556857288732277e-05,near-TLS
96,Jam2,0.16554601,0.00011416403952807888,near-TLS
97,Cd86,0.18690945,0.001969678727350247,near-TLS
98,Cd226,0.27242067,0.014284222324538003,near-TLS
99,Cxcl12,0.118898906,0.019760842071257955,near-TLS
100,Ccl3,0.38376406,0.020806073202690095,near-TLS
101,Cd274,0.13293645,0.026123429474250757,near-TLS
102,Il7,0.32255363,0.04305404555594723,near-TLS
103,Cxcl10,0.29927588,0.07517474747657095,near-TLS
104,Cd40lg,0.32405058,0.1175516702506353,near-TLS
105,Cd80,0.2113132,0.11973511867516373,near-TLS
106,Il15,0.13637574,0.13567980895336304,near-TLS
107,Pdcd1lg2,0.12222064,0.19964674617300304,near-TLS
108,Cd8a,0.30599248,0.20278635661858702,near-TLS
109,C3,0.12374105,0.22636729581500084,near-TLS
110,Ccl4,0.33015135,0.2318535170869724,near-TLS
111,Jam3,0.15383653,0.23505898080601936,near-TLS
112,Dll1,0.06273342,0.328660392374725,near-TLS
113,Lama1,0.25717947,0.33099024638479413,near-TLS
114,Gdnf,0.095185526,0.44913077934939805,near-TLS
115,Il4,0.17724217,0.44913077934939805,near-TLS
116,Sell,0.042327028,0.5209986242292047,near-TLS
117,Il1b,0.06360173,0.5373222941805548,near-TLS
118,Il17a,0.25671846,0.5712321850702251,near-TLS
119,Adm,0.091460966,0.5924120416943887,near-TLS
120,Lama2,0.029389525,0.6128784203594698,near-TLS
121,Ncam1,0.12820701,0.6927473623432607,near-TLS
122,Il6,0.1211912,0.7994077609078748,near-TLS
123,Nmb,0.02624872,0.8963697479667543,near-TLS
124,Gzma,0.009219837,0.9409716846520061,near-TLS
125,Igf2,-0.039876483,0.8783702351258573,near-TLS
126,Vtn,-0.049131088,0.8491079006617513,near-TLS
127,Tslp,-0.039041962,0.7998523509125578,near-TLS
128,Pomc,-0.06922051,0.524687373911375,near-TLS
129,Ccl25,-0.13280179,0.48618422623444973,near-TLS
130,Lamb1,-0.034262415,0.4335739933104136,near-TLS
131,Lamc2,-0.03534134,0.41925361545851414,near-TLS
132,Dll4,-0.060768522,0.2659073008769603,near-TLS
133,Tgfb2,-0.08202251,0.26292893267674905,near-TLS
134,Ccl20,-0.5653206,0.24180265424183187,near-TLS
135,Areg,-0.16200516,0.20278635661858702,near-TLS
136,Col4a1,0.013160666,0.17845389399454936,near-TLS
137,Vwf,-0.09391026,0.028563130084721725,near-TLS
138,Lamc3,-0.4351031,0.0256447186198716,near-TLS
139,Cx3cl1,-0.17560005,0.0025836609142800507,near-TLS
140,Cxcl13,-0.37231717,0.0006429059372836456,near-TLS
141,F11r,-0.11573653,3.3839932087240486e-05,near-TLS
142,Pecam1,-0.109479815,2.8171078512300998e-06,near-TLS
143,Il18,-0.372111,1.908027517630278e-06,near-TLS
144,Lama3,-0.26311982,2.1345981400627301e-07,near-TLS
145,Icam1,-0.20100316,1.2810369877327212e-10,near-TLS
146,Icam2,-0.25950134,5.2297031926592156e-12,near-TLS
147,Cdh5,-0.2529194,2.2056593998030495e-20,near-TLS
148,Scgb3a2,-0.77498746,1.3319261245435835e-21,near-TLS
149,Cdh1,-0.5809966,6.1445632583884865e-61,near-TLS
150,Scgb3a2,5.7890387,0.0,near-Br
151,C3,0.868988,0.0,near-Br
152,Cdh1,0.6507702,4.934000994708979e-177,near-Br
153,Col1a1,0.725301,3.4600732798635786e-151,near-Br
154,Tgfb3,0.6005144,2.0445540988521872e-78,near-Br
155,Lama2,0.73119617,1.910714409049625e-76,near-Br
156,Lamc3,1.8748662,1.0024148342349648e-63,near-Br
157,Cx3cl1,0.46047556,9.373228307648776e-27,near-Br
158,Ccl21a,0.69118136,9.660910999834044e-20,near-Br
159,Areg,0.7176068,5.324403962321531e-19,near-Br
160,Lamb1,0.26562294,2.6500093660423246e-16,near-Br
161,Ccl11,0.44369498,9.818460602229943e-15,near-Br
162,Flt3l,0.2859408,8.400518614541949e-14,near-Br
163,Nmb,0.6156231,1.9845256358710963e-05,near-Br
164,Il7,0.37958157,0.003175354073978241,near-Br
165,Adm,0.30724382,0.010738435524621393,near-Br
166,Reln,0.31280574,0.032603701057899184,near-Br
167,Thy1,0.07979364,0.11774180527469585,near-Br
168,Ccl25,0.1903093,0.16747767045944728,near-Br
169,Jam3,0.1312204,0.22531589095978022,near-Br
170,Il17a,0.3332357,0.309212648404346,near-Br
171,Igf2,0.1982335,0.32128873658227053,near-Br
172,Tgfb2,0.045526247,0.4219360832518785,near-Br
173,Il6,0.090003856,0.8581753199875841,near-Br
174,Ccl20,0.0010468634,0.9141004775260401,near-Br
175,Tslp,0.013535117,0.9397703167485304,near-Br
176,Cd40lg,-0.028242784,0.9141004775260401,near-Br
177,Cd226,-0.035569787,0.7218720800636023,near-Br
178,Il4,-0.10242954,0.5711634342597356,near-Br
179,Ncam1,-0.27166048,0.2854740407995826,near-Br
180,Ccl4,-0.37966558,0.10257925296609169,near-Br
181,Gzma,-0.41868785,0.04813205853151061,near-Br
182,Pomc,-0.16965781,0.026872303154694275,near-Br
183,Vtn,-0.47415388,0.007906580761260194,near-Br
184,Cd8a,-0.5642267,0.005856827180136305,near-Br
185,Lama1,-0.6253388,0.005490268071022369,near-Br
186,Cxcl10,-0.37544766,0.004761722477201685,near-Br
187,Ccl19,-0.2754884,0.002776510683891729,near-Br
188,Ccl3,-0.5094193,0.0004684272369087293,near-Br
189,Il15,-0.26231828,8.608300277282542e-05,near-Br
190,Cd80,-0.41902778,8.318082787463203e-05,near-Br
191,Cxcl9,-0.4784562,7.151522385843666e-06,near-Br
192,Cd86,-0.23313335,1.126468159288513e-06,near-Br
193,Il18,-0.3070142,2.887784415790805e-07,near-Br
194,F11r,-0.20884536,2.3349983626691078e-07,near-Br
195,Cxcl13,-0.50489426,1.1088714269800054e-09,near-Br
196,Ccl5,-0.4872015,8.721511358938891e-11,near-Br
197,Icosl,-0.26529765,3.916752109839522e-12,near-Br
198,Gdnf,-0.76900345,7.700055825842925e-15,near-Br
199,Jam2,-0.3455691,5.709345942400038e-23,near-Br
200,Dll4,-0.41263837,1.1898545013440916e-24,near-Br
201,Pdcd1lg2,-0.7549955,3.30269929113872e-25,near-Br
202,Il1b,-0.68481314,1.8395997963146827e-26,near-Br
203,Cxcl12,-0.47187835,5.7303022711221354e-34,near-Br
204,Cd34,-0.4808027,2.7939281230257603e-49,near-Br
205,Fn1,-0.40291518,2.315367985179016e-50,near-Br
206,Tnc,-0.6229909,6.136729784714873e-58,near-Br
207,Lama3,-0.6586548,5.675192917496975e-59,near-Br
208,Cd274,-0.7800088,5.961339927107629e-62,near-Br
209,Sell,-1.0246935,1.9620961419831066e-78,near-Br
210,Dll1,-0.9179514,1.1100254943122673e-82,near-Br
