,ligand,receptor,JS_Th0,JS_Th2,delta,frac_pos_Th0,frac_pos_Th2,mean_recep_Th0,mean_recep_Th2,mean_lig,n_Th0,n_Th2
0,Il33,Il1rl1,0.8294503526311215,0.5952288755402465,0.23422147709087504,0.0823293172690763,0.8802721088435375,0.7745139002799988,8.684691429138184,2.699615955352783,1494,735
1,Cdh1,Klrg1,0.9195332179595296,0.736144370754322,0.18338884720520754,0.02610441767068273,0.39727891156462586,0.23717637360095978,3.532909870147705,3.2274091243743896,1494,735
2,Cxcl16,Cxcr6,0.7798572670798238,0.6186150573595958,0.16124220972022807,0.1392235609103079,0.763265306122449,1.2432137727737427,6.921849727630615,3.6949381828308105,1494,735
3,Nmu,Nmur1,0.9896972813684083,0.8732843166347479,0.11641296473366036,0.0013386880856760374,0.15374149659863945,0.010911751538515091,1.2768616676330566,0.023760652169585228,1494,735
4,Spp1,Cd44,0.6945082504427058,0.6152960401178358,0.07921221032487002,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,2.048954963684082,1494,735
5,Spp1,Itgb3,0.7881331677587711,0.7100739124793959,0.07805925527937518,0.16934404283801874,0.4489795918367347,1.4891140460968018,3.92649507522583,2.048954963684082,1494,735
6,Il2,Il2ra,0.8269313084263239,0.7506280198144564,0.07630328861186753,0.0963855421686747,0.4639455782312925,0.8578312397003174,4.089145183563232,0.03880273178219795,1494,735
7,Il25,Il17rb,0.9272565621348625,0.8592629527737226,0.06799360936113996,0.03614457831325301,0.1891156462585034,0.3208608329296112,1.6409366130828857,0.02267233282327652,1494,735
8,Tnc,Itgb3,0.7745146729362845,0.70653299243581,0.06798168050047448,0.16934404283801874,0.4489795918367347,1.4891140460968018,3.92649507522583,1.6642721891403198,1494,735
9,Vwf,Itgb3,0.773913287095738,0.7059417549634278,0.06797153213231022,0.16934404283801874,0.4489795918367347,1.4891140460968018,3.92649507522583,2.5189003944396973,1494,735
10,Lama3,Cd44,0.6870796153880677,0.622138035315979,0.06494158007208872,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,1.4434186220169067,1494,735
11,Dll4,Notch2,0.7456552646297886,0.6817257697229879,0.06392949490680067,0.3253012048192771,0.54421768707483,2.832099199295044,4.692149639129639,1.4849385023117065,1494,735
12,Lamc2,Cd44,0.6797958614045007,0.6165671296189331,0.06322873178556754,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,2.041736364364624,1494,735
13,Vtn,Itgb3,0.78991050249679,0.7307221198069882,0.059188382689801755,0.16934404283801874,0.4489795918367347,1.4891140460968018,3.92649507522583,0.20507098734378815,1494,735
14,Fn1,Itgb3,0.756560786026977,0.6996743775981312,0.056886408428845736,0.16934404283801874,0.4489795918367347,1.4891140460968018,3.92649507522583,5.665269374847412,1494,735
15,Dll1,Notch2,0.7395672008731601,0.6863723541395431,0.05319484673361696,0.3253012048192771,0.54421768707483,2.832099199295044,4.692149639129639,1.0893017053604126,1494,735
16,Igf2,Itgb3,0.7778804431458349,0.7253225933819123,0.05255784976392264,0.16934404283801874,0.4489795918367347,1.4891140460968018,3.92649507522583,0.17159707844257355,1494,735
17,Lamc3,Cd44,0.7212481189173398,0.6691272163568971,0.05212090256044266,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,0.2575504779815674,1494,735
18,Tslp,Il7r,0.695414860356721,0.6446955433234492,0.050719317033271705,0.4062918340026774,0.7510204081632653,3.715707778930664,6.877195835113525,0.35599657893180847,1494,735
19,Col4a1,Cd44,0.6591907003221571,0.6109339142184367,0.04825678610372042,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,7.091513156890869,1494,735
20,Lamb1,Cd44,0.6569470310159751,0.6130420571331657,0.04390497388280934,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,1.9755010604858398,1494,735
21,Lama1,Cd44,0.6880422886066068,0.646319188469125,0.04172310013748182,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,0.16024239361286163,1494,735
22,Fn1,Cd44,0.645193156506182,0.6037431752712065,0.041449981234975564,0.5836680053547524,0.8163265306122449,5.320945739746094,7.518880367279053,5.665269374847412,1494,735
23,Il18,Il18rap,0.8251801979500749,0.7852038239658788,0.03997637398419607,0.10174029451137885,0.2707482993197279,0.8885295391082764,2.3530218601226807,0.7288833856582642,1494,735
