,ligand,receptor,JS_Th17,JS_Th0,delta,frac_pos_Th17,frac_pos_Th0,mean_recep_Th17,mean_recep_Th0,mean_lig,n_Th17,n_Th0
0,Cxcl13,Cxcr5,0.8422257485020869,0.723386221761839,0.11883952674024789,0.034482758620689655,0.23516949152542374,0.2998729348182678,2.1017415523529053,0.23719972372055054,406,472
1,Cxcl9,Cxcr3,0.8474045887946238,0.759338894959672,0.08806569383495177,0.1748768472906404,0.25,1.5948792695999146,2.3114817142486572,0.05343771353363991,406,472
2,Cd70,Cd27,0.9210374738523311,0.8392427973516046,0.08179467650072658,0.1724137931034483,0.4555084745762712,1.5665103197097778,4.148011207580566,0.0038597923703491688,406,472
3,Cxcl10,Cxcr3,0.8681857027875868,0.789217365726606,0.07896833706098083,0.1748768472906404,0.25,1.5948792695999146,2.3114817142486572,0.05792556330561638,406,472
4,Ccl21a,Ccr7,0.9245974650954818,0.8510071920062001,0.07359027308928168,0.059113300492610835,0.2033898305084746,0.5244954824447632,1.8214918375015259,0.4453426003456116,406,472
5,Ccl19,Ccr7,0.8998918364710528,0.8332698689401323,0.06662196753092042,0.059113300492610835,0.2033898305084746,0.5244954824447632,1.8214918375015259,0.26412084698677063,406,472
6,Cxcl13,Cxcr3,0.8404060798534052,0.7762131464586076,0.06419293339479759,0.1748768472906404,0.25,1.5948792695999146,2.3114817142486572,0.23719972372055054,406,472
7,Il21,Il21r,0.9071641970314176,0.8545843096571293,0.052579887374288314,0.10837438423645321,0.22245762711864406,0.9508277773857117,1.9387907981872559,0.028614945709705353,406,472
8,Pdcd1lg2,Pdcd1,0.8404498683569395,0.7933291851303752,0.047120683226564264,0.17733990147783252,0.2584745762711864,1.5780270099639893,2.3358685970306396,0.11717354506254196,406,472
9,Il10,Il10ra,0.8739143296308993,0.8329998577214629,0.04091447190943642,0.15517241379310345,0.20127118644067796,1.3901118040084839,1.7917817831039429,0.02099802903831005,406,472
10,Cd80,Cd274,0.8999446937656757,0.8610590080489718,0.03888568571670381,0.07635467980295567,0.13135593220338984,0.6734740734100342,1.1435593366622925,0.18854808807373047,406,472
11,Itgb2,Icam2,0.8793926843251796,0.8436769102584024,0.03571577406677717,0.1477832512315271,0.19491525423728814,1.3229180574417114,1.7038700580596924,1.5334513187408447,406,472
12,Il21,Il2rg,0.8161553241720677,0.787112347534802,0.02904297663726574,0.5738916256157636,0.6461864406779662,5.412631511688232,6.06127405166626,0.028614945709705353,406,472
13,Thy1,Itgav,0.8004863887610185,0.773089397042119,0.027396991718899533,0.2832512315270936,0.3283898305084746,2.5340936183929443,2.9061121940612793,0.5584604144096375,406,472
14,Sell,Cd34,0.903756644046128,0.8789131644936038,0.024843479552524195,0.1354679802955665,0.15466101694915255,1.2255457639694214,1.3856436014175415,0.8476281762123108,406,472
15,Ifng,Ifngr2,0.8816278560311797,0.859479278310573,0.022148577720606633,0.14039408866995073,0.1504237288135593,1.2358285188674927,1.3055375814437866,0.020524272695183754,406,472
16,Cd40lg,Itgb2,0.6966932603435452,0.6747716738026626,0.02192158654088261,0.5295566502463054,0.5783898305084746,4.886458873748779,5.347509384155273,0.09092091768980026,406,472
17,Cd80,Cd28,0.7630649533308002,0.744017934066012,0.019047019264788134,0.5098522167487685,0.5889830508474576,4.687880039215088,5.490810394287109,0.18854808807373047,406,472
18,Cd40lg,Itgb1,0.6671369840898815,0.6488747634960946,0.018262220593786904,0.6798029556650246,0.6864406779661016,6.492013931274414,6.67531681060791,0.09092091768980026,406,472
19,Il25,Il17ra,0.9167139338767912,0.8984806105468728,0.01823332332991845,0.23645320197044334,0.2563559322033898,2.0990238189697266,2.272303581237793,0.015487735159695148,406,472
20,Madcam1,Itga4,0.8741605204787573,0.8572986266245297,0.01686189385422754,0.625615763546798,0.7076271186440678,5.982027530670166,6.9015631675720215,0.006322821136564016,406,472
21,Tslp,Crlf2,0.9200958056287124,0.9038325005166455,0.01626330511206686,0.11330049261083744,0.16101694915254236,0.9976626038551331,1.3969740867614746,0.4009202718734741,406,472
22,Il2,Il2rb,0.8268958834587835,0.8118947839428373,0.015001099515946192,0.2881773399014778,0.3707627118644068,2.643439292907715,3.472532033920288,0.039808239787817,406,472
23,Thy1,Itgb2,0.7147032707550595,0.7013412071182358,0.013362063636823684,0.5295566502463054,0.5783898305084746,4.886458873748779,5.347509384155273,0.5584604144096375,406,472
24,Igf2,Itga6,0.8884309277171517,0.8768003136578889,0.0116306140592628,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,0.3253360390663147,406,472
25,Lama2,Itga6,0.8791392963388179,0.8681170567962763,0.011022239542541667,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,1.247771978378296,406,472
26,Cd86,Cd28,0.7604933589009328,0.7520802107802628,0.008413148120670066,0.5098522167487685,0.5889830508474576,4.687880039215088,5.490810394287109,0.6053617000579834,406,472
27,Il9,Il9r,0.9610689654923058,0.953222573799112,0.007846391693193788,0.09852216748768473,0.1292372881355932,0.8642743229866028,1.1475661993026733,0.006457103416323662,406,472
28,Il10,Il10rb,0.8543082189528549,0.8465307228609676,0.00777749609188727,0.2832512315270936,0.23516949152542374,2.5371100902557373,2.075017213821411,0.02099802903831005,406,472
29,Il6,Il6st,0.8485353488118137,0.8408887877491615,0.007646561062652157,0.45073891625615764,0.5211864406779662,4.164041519165039,4.812450408935547,0.02092732861638069,406,472
30,Itga4,Vcam1,0.8484829779564238,0.8409251357077964,0.007557842248627433,0.1724137931034483,0.2076271186440678,1.555314064025879,1.864479660987854,1.24862802028656,406,472
31,Icosl,Cd28,0.7529605523563363,0.7465841812611032,0.0063763710952331465,0.5098522167487685,0.5889830508474576,4.687880039215088,5.490810394287109,1.3589568138122559,406,472
32,Il33,Il1rl1,0.9001312839974193,0.8941737506058853,0.005957533391533931,0.1206896551724138,0.13559322033898305,1.1393457651138306,1.323762059211731,1.8340239524841309,406,472
33,Calca,Calcrl,0.853477865206301,0.8477305231998326,0.0057473420064684255,0.41133004926108374,0.3644067796610169,3.8294825553894043,3.359161376953125,0.049612242728471756,406,472
34,Cd274,Pdcd1,0.8693505970608153,0.8641775522862202,0.005173044774595126,0.17733990147783252,0.2584745762711864,1.5780270099639893,2.3358685970306396,0.5194157361984253,406,472
35,Lamb1,Itga6,0.8811566318863094,0.8771934029171086,0.0039632289692008715,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,1.908517837524414,406,472
36,Madcam1,Itgb7,0.87594438707995,0.8737984923396138,0.0021458947403362183,0.5566502463054187,0.4894067796610169,5.194812774658203,4.532156944274902,0.006322821136564016,406,472
37,Il15,Il2rb,0.8482821629951294,0.8467237020328797,0.0015584609622496526,0.2881773399014778,0.3707627118644068,2.643439292907715,3.472532033920288,0.6582285761833191,406,472
38,H2-DMb2,Cd4,0.7552010956238823,0.7549937749132914,0.00020732071059081925,0.5443349753694581,0.625,5.102853775024414,5.860536098480225,1.5876312255859375,406,472
39,Il17f,Il17ra,0.887418533133228,0.8882891087219481,-0.0008705755887200572,0.23645320197044334,0.2563559322033898,2.0990238189697266,2.272303581237793,0.022663533687591553,406,472
40,Reln,Itgb1,0.7457669062346504,0.7467586535069022,-0.0009917472722518195,0.6798029556650246,0.6864406779661016,6.492013931274414,6.67531681060791,0.24334697425365448,406,472
41,Cdh5,Cdh5,0.875373881412258,0.8770522855336715,-0.0016784041214135126,0.21674876847290642,0.19491525423728814,1.9517782926559448,1.7717442512512207,5.322795391082764,406,472
42,Itga4,Itgb1,0.711791854759439,0.7134856408959611,-0.0016937861365221574,0.6798029556650246,0.6864406779661016,6.492013931274414,6.67531681060791,1.24862802028656,406,472
43,Lama1,Itga6,0.9007449653438298,0.903085386742225,-0.002340421398395298,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,0.08762533217668533,406,472
44,Il22,Il10rb,0.9004522815589905,0.9033275649639724,-0.0028752834049818876,0.2832512315270936,0.23516949152542374,2.5371100902557373,2.075017213821411,0.02290930412709713,406,472
45,Il17a,Il17ra,0.8829024042988748,0.8858134496659473,-0.00291104536707254,0.23645320197044334,0.2563559322033898,2.0990238189697266,2.272303581237793,0.023770080879330635,406,472
46,Itgb2,Icam1,0.8630538703791217,0.8665049812673675,-0.0034511108882457897,0.18472906403940886,0.1504237288135593,1.684786081314087,1.3002989292144775,1.5334513187408447,406,472
47,Lamc3,Itga6,0.8929846058252763,0.8966517537545663,-0.0036671479292900155,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,0.46138593554496765,406,472
48,Col1a1,Itga3,0.9084362532867799,0.9128981047835212,-0.004461851496741276,0.1206896551724138,0.07838983050847458,1.066138505935669,0.6871563792228699,1.5090986490249634,406,472
49,Dll3,Notch1,0.8899726469910921,0.8951168728914662,-0.005144225900374111,0.3103448275862069,0.3877118644067797,2.7550950050354004,3.4512600898742676,0.010254301130771637,406,472
50,Cd80,Ctla4,0.7957242445766612,0.8010548101266896,-0.00533056555002831,0.3645320197044335,0.3516949152542373,3.3920321464538574,3.231858491897583,0.18854808807373047,406,472
51,Lama3,Itga6,0.8843666262326095,0.8897711574320032,-0.0054045311993936584,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,1.1370269060134888,406,472
52,Dll3,Notch2,0.9012337550157963,0.906860960032921,-0.00562720501712477,0.3103448275862069,0.2796610169491525,2.7796101570129395,2.4889822006225586,0.010254301130771637,406,472
53,Lama1,Itga1,0.9249311355968992,0.9306310236157954,-0.005699888018896204,0.10837438423645321,0.08050847457627118,0.9649214744567871,0.7037318348884583,0.08762533217668533,406,472
54,Il9,Il2rg,0.9137096632676854,0.9195783573558958,-0.0058686940882103356,0.5738916256157636,0.6461864406779662,5.412631511688232,6.06127405166626,0.006457103416323662,406,472
55,Tgfb1,Tgfbr1,0.8678524834792527,0.8739705025384188,-0.006118019059166091,0.19704433497536947,0.18220338983050846,1.7530189752578735,1.6026568412780762,2.8428735733032227,406,472
56,Dll1,Notch1,0.8624486393120896,0.8689708836072003,-0.006522244295110724,0.3103448275862069,0.3877118644067797,2.7550950050354004,3.4512600898742676,1.137986183166504,406,472
57,Itgb2,Cd226,0.7889025697384576,0.7962513090128219,-0.007348739274364302,0.4014778325123153,0.3411016949152542,3.6413416862487793,3.071749210357666,1.5334513187408447,406,472
58,Lamc2,Itga6,0.8856739709701836,0.8936954231934678,-0.008021452223284209,0.16995073891625614,0.2266949152542373,1.5214197635650635,1.9779607057571411,1.177904486656189,406,472
59,Lama3,Itga1,0.9228863036691294,0.9313617978821532,-0.008475494213023849,0.10837438423645321,0.08050847457627118,0.9649214744567871,0.7037318348884583,1.1370269060134888,406,472
60,Dll4,Notch1,0.8663301886413244,0.8758499886584984,-0.009519800017174007,0.3103448275862069,0.3877118644067797,2.7550950050354004,3.4512600898742676,1.6760467290878296,406,472
61,Lama2,Itga3,0.9084850109053908,0.9187521573425461,-0.010267146437155317,0.1206896551724138,0.07838983050847458,1.066138505935669,0.6871563792228699,1.247771978378296,406,472
62,Lamc2,Itga1,0.9235112990555158,0.9349744956588607,-0.011463196603344938,0.10837438423645321,0.08050847457627118,0.9649214744567871,0.7037318348884583,1.177904486656189,406,472
63,Cxcl12,Cxcr4,0.79607507816386,0.8078408871623646,-0.011765808998504546,0.42857142857142855,0.4766949152542373,3.9906959533691406,4.394519805908203,2.858544111251831,406,472
