,ligand,receptor,JS_Th2,JS_Th0,delta,frac_pos_Th2,frac_pos_Th0,mean_recep_Th2,mean_recep_Th0,mean_lig,n_Th2,n_Th0
0,Cxcl13,Cxcr5,0.9495372355608165,0.723386221761839,0.2261510137989775,0.013824884792626729,0.23516949152542374,0.12409601360559464,2.1017415523529053,0.23719972372055054,434,472
1,Cxcl9,Cxcr3,0.9372385454560508,0.759338894959672,0.1778996504963788,0.02534562211981567,0.25,0.21689896285533905,2.3114817142486572,0.05343771353363991,434,472
2,Cxcl13,Cxcr3,0.9433077195748666,0.7762131464586076,0.16709457311625897,0.02534562211981567,0.25,0.21689896285533905,2.3114817142486572,0.23719972372055054,434,472
3,Cxcl10,Cxcr3,0.9538854428948507,0.789217365726606,0.16466807716824472,0.02534562211981567,0.25,0.21689896285533905,2.3114817142486572,0.05792556330561638,434,472
4,Ccl21a,Ccr7,0.9526478360713577,0.8510071920062001,0.1016406440651576,0.027649769585253458,0.2033898305084746,0.23746433854103088,1.8214918375015259,0.4453426003456116,434,472
5,Ccl19,Ccr7,0.9338232330954018,0.8332698689401323,0.1005533641552695,0.027649769585253458,0.2033898305084746,0.23746433854103088,1.8214918375015259,0.26412084698677063,434,472
6,Cd70,Cd27,0.9308713199724122,0.8392427973516046,0.09162852262080767,0.1728110599078341,0.4555084745762712,1.5260730981826782,4.148011207580566,0.0038597923703491688,434,472
7,Il21,Il21r,0.945215525879662,0.8545843096571293,0.09063121622253267,0.04608294930875576,0.22245762711864406,0.39591357111930847,1.9387907981872559,0.028614945709705353,434,472
8,Ccl20,Ccr6,0.9347681908439439,0.8466958990190155,0.08807229182492837,0.016129032258064516,0.11440677966101695,0.13810260593891144,1.0181641578674316,0.035158589482307434,434,472
9,Ccl5,Ccr4,0.8634202998951545,0.7821467182964921,0.08127358159866238,0.15668202764976957,0.22033898305084745,1.4071261882781982,1.9867191314697266,0.24820053577423096,434,472
10,Cd80,Cd28,0.8159014604599025,0.744017934066012,0.0718835263938905,0.29723502304147464,0.5889830508474576,2.670729875564575,5.490810394287109,0.18854808807373047,434,472
