,ligand,receptor,JS_Th2,JS_Th0,delta,frac_pos_Th2,frac_pos_Th0,mean_recep_Th2,mean_recep_Th0,mean_lig,n_Th2,n_Th0
0,Ccl20,Ccr6,0.9233055570452521,0.5977175214383247,0.3255880356069274,0.02585034013605442,0.34002677376171353,0.21912820637226105,3.0904088020324707,0.11632438004016876,735,1494
1,Cxcl13,Cxcr5,0.95337026359077,0.6397243372310475,0.31364592635972255,0.014965986394557823,0.32663989290495316,0.12488473951816559,2.8821725845336914,0.5008298754692078,735,1494
2,Ccl19,Ccr7,0.9605998274960358,0.6780868868836543,0.2825129406123815,0.021768707482993196,0.20214190093708165,0.18907006084918976,1.7761784791946411,0.42578524351119995,735,1494
3,Ccl21a,Ccr7,0.9676642962920048,0.6938024015241725,0.2738618947678323,0.021768707482993196,0.20214190093708165,0.18907006084918976,1.7761784791946411,0.519371509552002,735,1494
4,Cxcl13,Cxcr3,0.9512276132848329,0.7003362646085798,0.25089134867625307,0.021768707482993196,0.17670682730923695,0.17997726798057556,1.5541406869888306,0.5008298754692078,735,1494
5,Il21,Il21r,0.8887422448392529,0.6786713333205928,0.2100709115186601,0.08571428571428572,0.21954484605087016,0.7085781097412109,1.8904168605804443,0.057126712054014206,735,1494
6,Cxcl9,Cxcr3,0.9450249928532858,0.747469470279953,0.19755552257333275,0.021768707482993196,0.17670682730923695,0.17997726798057556,1.5541406869888306,0.39779457449913025,735,1494
7,Icosl,Cd28,0.7614320401501613,0.5653932413146641,0.19603879883549724,0.3238095238095238,0.5990629183400268,2.80491304397583,5.450109481811523,1.5611708164215088,735,1494
8,Cxcl10,Cxcr3,0.9536950257195836,0.7633475078399916,0.19034751787959203,0.021768707482993196,0.17670682730923695,0.17997726798057556,1.5541406869888306,0.2894594967365265,735,1494
9,Cd80,Cd28,0.7568098689697276,0.5889866801496023,0.16782318882012526,0.3238095238095238,0.5990629183400268,2.80491304397583,5.450109481811523,0.3400360643863678,735,1494
10,Cd86,Cd28,0.7524730034714193,0.6065436447318736,0.1459293587395457,0.3238095238095238,0.5990629183400268,2.80491304397583,5.450109481811523,0.9740771055221558,735,1494
11,Ccl5,Ccr4,0.8535667409270874,0.718111383177788,0.1354553577492994,0.13877551020408163,0.2744310575635877,1.1738923788070679,2.4332191944122314,0.6094133257865906,735,1494
12,Reln,Itgb1,0.7191378691032717,0.5844421409726039,0.13469572813066777,0.8149659863945579,0.6572958500669344,7.513216018676758,6.162197113037109,0.2381298989057541,735,1494
13,Cd40lg,Itgb2,0.646101890213758,0.5153222373591223,0.13077965285463566,0.7700680272108843,0.7014725568942436,6.965006351470947,6.4725189208984375,0.2085462510585785,735,1494
14,Itgb2,Cd226,0.8109014749951937,0.6832129014789173,0.12768857351627638,0.18503401360544217,0.2971887550200803,1.579656720161438,2.5955822467803955,3.785571813583374,735,1494
15,Il21,Il2rg,0.6656260851140702,0.5438718539264337,0.12175423118763651,0.891156462585034,0.7161981258366801,8.33948040008545,6.6432318687438965,0.057126712054014206,735,1494
16,Cd80,Cd274,0.8684106658574177,0.7488202000964078,0.11959046576100985,0.11972789115646258,0.1392235609103079,0.9986701607704163,1.1996872425079346,0.3400360643863678,735,1494
17,Il17a,Il17ra,0.7956711396411027,0.6777018505712749,0.11796928906982784,0.3034013605442177,0.3032128514056225,2.5461881160736084,2.637713670730591,0.09669100493192673,735,1494
18,Thy1,Itgax,0.8193396020839797,0.7017375270692989,0.11760207501468078,0.2,0.17336010709504684,1.7085133790969849,1.523453712463379,1.0864776372909546,735,1494
19,Cd40lg,Itgb1,0.63401901950752,0.5173140459096693,0.1167049735978507,0.8149659863945579,0.6572958500669344,7.513216018676758,6.162197113037109,0.2085462510585785,735,1494
20,Il17f,Il17ra,0.7964650811735655,0.6836924548964641,0.11277262627710138,0.3034013605442177,0.3032128514056225,2.5461881160736084,2.637713670730591,0.057830534875392914,735,1494
21,Il2,Il2rb,0.79242784904675,0.6805929781771426,0.11183487086960742,0.3034013605442177,0.45314591700133866,2.6047205924987793,4.117067337036133,0.03880273178219795,735,1494
22,Il15,Il2rb,0.7671877551625463,0.6593068551096348,0.10788090005291151,0.3034013605442177,0.45314591700133866,2.6047205924987793,4.117067337036133,0.5906714200973511,735,1494
23,Madcam1,Itgb7,0.79528753307025,0.6928490501235998,0.10243848294665026,0.5659863945578232,0.5120481927710844,4.979338645935059,4.610322952270508,0.015501964837312698,735,1494
24,Madcam1,Itga4,0.7828542216019626,0.6842456661100497,0.09860855549191294,0.6517006802721088,0.6532797858099063,5.80769157409668,6.104095458984375,0.015501964837312698,735,1494
25,Icosl,Icos,0.6989071102664761,0.6012366864105626,0.09767042385591351,0.508843537414966,0.4344042838018742,4.447556495666504,3.893899917602539,1.5611708164215088,735,1494
26,Lama2,Itga6,0.8118905118063678,0.7148979748887957,0.09699253691757215,0.2108843537414966,0.24832663989290496,1.761507511138916,2.1624348163604736,1.2718786001205444,735,1494
27,Tgfb3,Tgfbr1,0.7910125270201335,0.6950283189898805,0.09598420803025298,0.24625850340136055,0.28112449799196787,2.0549888610839844,2.445789098739624,1.9078963994979858,735,1494
28,Cd70,Cd27,0.8766173218693956,0.7814686202926472,0.09514870157674837,0.19183673469387755,0.3908969210174029,1.637872338294983,3.473543167114258,0.010414738208055496,735,1494
29,Thy1,Itgb2,0.6330889189644316,0.5382698204606629,0.0948190985037688,0.7700680272108843,0.7014725568942436,6.965006351470947,6.4725189208984375,1.0864776372909546,735,1494
30,Il18,Il18r1,0.7905128677178574,0.698532203271022,0.0919806644468355,0.26258503401360545,0.4457831325301205,2.277177572250366,4.086243629455566,0.7288833856582642,735,1494
