,ligand,receptor,JS_Th17,JS_Th0,delta,frac_pos_Th17,frac_pos_Th0,mean_recep_Th17,mean_recep_Th0,mean_lig,n_Th17,n_Th0
0,Cxcl13,Cxcr5,0.8417817872393919,0.6397243372310475,0.2020574500083444,0.02942300343905235,0.32663989290495316,0.25079450011253357,2.8821725845336914,0.5008298754692078,2617,1494
1,Ccl21a,Ccr7,0.8412485759678509,0.6938024015241725,0.14744617444367836,0.042414978983568975,0.20214190093708165,0.370635449886322,1.7761784791946411,0.519371509552002,2617,1494
2,Ccl19,Ccr7,0.822921597911023,0.6780868868836543,0.14483471102736878,0.042414978983568975,0.20214190093708165,0.370635449886322,1.7761784791946411,0.42578524351119995,2617,1494
3,Cd70,Cd27,0.8310541679479234,0.7814686202926472,0.04958554765527623,0.09591134887275506,0.3908969210174029,0.8459994196891785,3.473543167114258,0.010414738208055496,2617,1494
4,Il21,Il21r,0.7274938382296503,0.6786713333205928,0.048822504909057485,0.10813909056171188,0.21954484605087016,0.931102454662323,1.8904168605804443,0.057126712054014206,2617,1494
5,Il9,Il9r,0.8904181131951493,0.8511513979825056,0.03926671521264369,0.050821551394726786,0.16131191432396252,0.4400438964366913,1.386748194694519,0.008862395770847797,2617,1494
6,Reln,Itgb1,0.6023839182140344,0.5844421409726039,0.017941777241430423,0.7241115781429117,0.6572958500669344,6.7644219398498535,6.162197113037109,0.2381298989057541,2617,1494
7,Ccl20,Ccr6,0.6155423686143383,0.5977175214383247,0.017824847176013625,0.25181505540695454,0.34002677376171353,2.268813133239746,3.0904088020324707,0.11632438004016876,2617,1494
8,Madcam1,Itgb7,0.6970494980428356,0.6928490501235998,0.004200447919235795,0.5724111578142912,0.5120481927710844,5.2054443359375,4.610322952270508,0.015501964837312698,2617,1494
9,Madcam1,Itga4,0.6812399206976353,0.6842456661100497,-0.0030057454124143845,0.5995414596866642,0.6532797858099063,5.582523345947266,6.104095458984375,0.015501964837312698,2617,1494
10,Cxcl13,Cxcr3,0.677908844777153,0.7003362646085798,-0.02242741983142682,0.15131830340084065,0.17670682730923695,1.3509645462036133,1.5541406869888306,0.5008298754692078,2617,1494
11,Itga4,Vcam1,0.6992293569171347,0.7238662256084865,-0.024636868691351732,0.119220481467329,0.1746987951807229,1.03359055519104,1.5155448913574219,2.56325364112854,2617,1494
12,Il10,Il10ra,0.7245737161085166,0.7590156976141684,-0.03444198150565181,0.1322124570118456,0.15930388219544847,1.155074119567871,1.3753256797790527,0.036466892808675766,2617,1494
13,Il21,Il2rg,0.5056830226649273,0.5438718539264337,-0.038188831261506406,0.6583874665647688,0.7161981258366801,6.08154821395874,6.6432318687438965,0.057126712054014206,2617,1494
14,Reln,Itga3,0.7280058590063936,0.7692729193425346,-0.041267060336141026,0.21360336262896445,0.14190093708165996,1.861983060836792,1.2199097871780396,0.2381298989057541,2617,1494
15,Itgb2,Icam2,0.6824935284486378,0.7241546529254277,-0.041661124476789935,0.13488727550630492,0.19143239625167335,1.1675660610198975,1.6346549987792969,3.785571813583374,2617,1494
16,Cd80,Cd274,0.7035808856145706,0.7488202000964078,-0.04523931448183727,0.1157814291173099,0.1392235609103079,0.9976934790611267,1.1996872425079346,0.3400360643863678,2617,1494
17,Il17a,Il17ra,0.6313225285364421,0.6777018505712749,-0.04637932203483275,0.253725640045854,0.3032128514056225,2.2068755626678467,2.637713670730591,0.09669100493192673,2617,1494
18,Il17f,Il17ra,0.6342531582190198,0.6836924548964641,-0.04943929667744429,0.253725640045854,0.3032128514056225,2.2068755626678467,2.637713670730591,0.057830534875392914,2617,1494
19,Il9,Il2rg,0.7215786412919194,0.7767780966347065,-0.05519945534278714,0.6583874665647688,0.7161981258366801,6.08154821395874,6.6432318687438965,0.008862395770847797,2617,1494
20,Dll3,Notch1,0.6846950420760265,0.7412940919087113,-0.05659904983268482,0.3844096293465801,0.4350736278447122,3.3903648853302,3.813051700592041,0.01645168475806713,2617,1494
