Il1rl1
Areg
Il13
Gadd45b
Il4
Il10ra
Calca
Nfkbia
Gata3
Plac8
Ctla2a
Nfkbiz
Pdcd1
Lgmn
1700061F12Rik
Nr4a1
Pparg
Egr1
Fgl2
Gnaq
Samsn1
Klrg1
Ptpn13
Nmur1
Nfkb1
Srgn
Zfp36
Jak2
Cd40lg
Lif
Tnfaip3
Csf2
Plxdc2
Lpcat2
Atf3
Il6
Il5
Zcchc10
Jdp2
Ptgir
Junb
Coro2a
Nfkbid
Csrnp1
Tnfrsf18
Myo1e
Igfbp7
Hilpda
Myo6
Bcar3
Ccl1
Elovl5
Tnfrsf4
Cxcl2
Ppp1r15a
Cysltr1
Neurl3
Dusp16
Hspa2
Ier3
Bhlhe40
Gm13522
9230102O04Rik
Slc7a8
Inpp4b
Ccdc184
Fosb
Baz1a
Rpl37a
Dusp1
Spry1
Prr7
Btg1
Ipmk
Ifitm2
Pim1
Tgfb1
Plcl1
AC163703.1
Cd200r1
Serinc3
Epas1
Nr4a3
Ifrd1
Pcsk1
Gm20627
Cyp11a1
Paxbp1
Mir155hg
Syne3
Mns1
Zc3h12a
Foxp1
Mfge8
Ccr2
Tmem64
Gm13481
Btg2
Csf1
Dusp5
Golga3
Stk17b
Map3k8
Kcnq5
Bmp7
Ehmt1
Sema4a
Egr3
Gm42620
Picalm
Itk
Il2ra
Gm13256
Car8
Apbb2
Gm6467
Dach2
Ccr3
Gcnt1
Bcl2a1b
Chn2
Irf2bp2
Gpr25
Ltb4r1
Adck5
Lztfl1
Dusp6
Degs1
Nabp1
Fosl2
Nck2
Rnf130
Ly6a
CAAA01147332.1
Rnf128
Csgalnact1
Ccr8
Dlg2
Ier5
Adam8
Kif23
Dst
Rbpj
I730030J21Rik
Aldoa
Frmd4b
Slc7a1
Calcrl
Ndfip1
Nr3c1
Birc3
Cdkn1a
Kdm6b
Socs2
1700016P03Rik
Gm45223
Dnajc6
Stx3
Mt1
Lyn
Gclc
Smim3
Glul
Dennd4a
Ireb2
Il2rg
Gfra4
4932438H23Rik
Elavl1
Atxn10
Gm16229
Pitrm1
Litaf
Uhrf2
Skap1
Stau2
Acbd7
Gm36932
Pacsin3
Slc32a1
Tafa3
Akr1b8
Hpgds
P3h3
Gm16350
Gm17344
Phldb1
Traip
Mfsd4b4
Oit3
Adora2b
Slc6a4
Sptb
Akr1c18
Akr1c12
Trgv5
Gpr150
Adcy6
Vmn2r94
Osbpl1a
Ppp1cc
Prxl2a
Ifitm3
Il9r
Polr1a
Itgav
Acap3
Plk3
Vps37b
Dipk2a
Tspan13
Pcnx3
Il10
Tmtc2
Pctp
Fnbp1
Cyb5d2
Zc3h7b
Als2
Gm12359
Epcam
Pik3ap1
Grk5
Bmpr2
Nr4a2
Plec
Gabarapl2
Cdkn2d
F2r
Gnb2
Prkcq
Ccrl2
Rgs2
Tmed4
Hscb
Fos
Scarb2
Rprd1a
Ell2
Lig1
Atp13a3
Tasp1
Rps6ka5
Prpf19
Scamp3
Arl14ep
Nkg7
Erap1
Bcl2a1d
Dennd5a
H2-K1
Dbndd2
Cenpj
Etfdh
Slc43a3
Inpp5k
Trbv19
Tusc3
Diaph2
Fmnl1
Tpcn2
Gm13219
A430072P03Rik
Trf
Rab20
Srr
Klf11
Sema6d
Celf5
Gm5124
Bbs2
Gm16045
Ermard
Snord104
Gm16068
Srgap3
Minpp1
Apmap
Cnnm3
Rps16-ps2
Sh3bgrl3
Zc3hav1
Pla2g12a
Lgals3
Arih2
Arf4
Parp3
Coq10b
Jund
Pxdc1
Ero1l
Arl5a
Elf1
Shoc2
Ldha
Cers4
Sytl2
Swap70
Stk40
Zeb2
Arid3a
Rab4a
Pnrc1
Irs2
Pcca
Acp6
Arl5b
Cnpy4
Fam107b
Fam193a
Chuk
Ppm1b
Sorl1
Ldlrad4
Tnfsf8
Pgls
Rabgef1
Vdr
Golga5
Rap1b
Arhgef6
Cd2
Med21
Mvb12b
Snx9
Runx3
Arf3
Spag9
Gm8189
Gm43305
Itpr1
Ung
Gpx4
Aprt
S100a1
Rapgef2
Mrps22
Gm36723
Galc
Mta1
Vwa3b
Gm37881
Aasdh
Adamts3
2310002F09Rik
Zfp358
Pigb
Gm9917
Gm11973
Spdl1
Pfas
Gm49625
Pip5k1b
Chchd3
Pomt1
A430018G15Rik
Sord
4921511C10Rik
Snrnp35
Inafm1
Lgals4
A630001O12Rik
Impg1
Slc26a6
Icosl
Gm48585
Rbm20
Gprasp2
Cd53
Nuak2
Car9
Gtpbp10
Pigg
Mrgpre
Hormad2
Gm35638
Trav16n
Cd200r4
Cnih2
Spindoc
Tctn3
4933407K13Rik
Neb
Cass4
Tmem170b
Git1
Ercc8
Fcho2
Cacna1a
Zfp395
Zc3h11a
Pnpt1
Eif1
5830432E09Rik
Ccr9
Nedd4l
Zyx
Kdm2b
Vps8
Vezt
Spty2d1
Cyb5r4
Mt2
Trav7d-3
Plaur
Castor2
Bcl3
Dip2a
Dhx37
Specc1
Acvr1b
Upf3a
Spata1
Il7r
Papolg
Crlf2
