Il17a
Tmem176b
Tmem176a
Ucp2
Ramp1
Ckb
Sdc4
Ikzf3
Cxcr6
Gpx1
Capg
Ier5l
Smox
Ctla4
Anxa2
Rorc
Trgc1
Emb
S100a4
Il17f
Lgals1
Vim
Aqp3
Mtss1
Rgs1
Actb
Itm2b
Il17re
Thy1
Znrf1
Cd3g
Bhlhe40
Ctsb
Adam12
Slc22a15
Il18r1
Crmp1
Rgcc
Ppp1r14c
St6galnac3
Actn2
Tagln2
Il23r
Odc1
Gng2
Cpe
Podnl1
S100a6
Lmna
Il1r1
Stk24
Tox2
Ly6e
S100a11
Bcl2a1d
Litaf
Ccr6
Cd226
Junb
Slc15a3
Ablim3
Tnfsf11
Slc16a6
Acpp
Ostf1
5830411N06Rik
Fam110a
Hnrnpll
Cd164
Mdfic
Mphosph6
Icos
Itgb2
Septin11
Cish
Asb2
Slamf1
Timp2
Tspo
Tiparp
Reep3
1700012B07Rik
Cd82
Kat6b
Tnfsf8
Trp53i13
Prrc2a
Ssbp2
Tap2
Cyth4
Usp14
Arl6ip1
Pecam1
Igfbp7
Metap1d
St3gal3
Angptl2
Hlf
Cpd
Grb7
Atp5md
Plin2
Pkm
Cerk
Zfp407
Rora
Lamc1
Furin
Gm48719
Vps4a
Ncor1
Acadm
Hnrnpl
Cd101
Tacc1
Ly6g5b
Plxnd1
Kcnc1
Trgv3
Pdcd1
Arl3
Rasgrp1
Misp3
Kcnmb4
Ifngr1
Pi4k2a
Gabbr1
Plcb4
Ehd1
Tec
Rsph3a
Psmd10
Rbpj
Xist
Sdf2
Slc16a3
Susd3
Krt83
Mgat5
Vamp4
Ppp2ca
Ybx1
Septin7
Il2rb
Wbp1
Cd3e
Nmrk1
Pdgfb
Trps1
Klhl20
Nup205
Pkp3
Slc12a7
Hnrnpul2
Nrgn
Zfp36l1
Prrt1
Hivep2
Utf1
Plekhf1
Nudt4
Gldc
Prr5l
Atp2b4
Gm4204
Lss
Prr29
Cfap36
Ahnak
Plk3
Rhoa
Lat
Aagab
Cfl1
Galm
Eif4e
Serpinb1a
Uhrf2
Ssbp3
Ttc39c
Il27ra
Runx1
Actr2
Csde1
Pdcd4
Nebl
Ola1
Wsb2
Pfn1
Gm11532
Nat8f1
Slc52a3
Rdh12
Rnf166
Atp6v0e
Actg1
Prr13
Usp4
Blcap
Oaz1
Pxdc1
Lmo4
Mical1
Sdf2l1
Msrb1
Sgta
Taf2
Tubb6
Slc35c2
Tmem64
Penk
Elk3
Pcbp3
Epdr1
Acyp2
Gm37352
Arl15
Uxs1
Fli1
Gm48678
Cd44
Tars
Pold4
Gm38405
Aldh7a1
Sla
Cyc1
Cd247
Csnk1g2
Trbv16
Ptms
Rgs2
Cdon
Rftn1
Adam8
Rexo2
Pdcd5
Gm5547
Npas2
Hdc
Wdr77
Gab2
Ttyh2
Tgfb3
Blk
Gm50013
Ston1
Ddx3x
Tnfrsf25
Nfatc1
Zeb2
Vax2
Crip1
Herc1
Psmc3
Zfp62
Rrad
Rab11fip1
Mrps6
Plp2
Fam207a
Ube2n
Sema4b
Jmjd1c
Paip2
Tab2
Jarid2
Smpdl3a
Lrwd1
Jund
Lrrc42
Ltb4r1
Ak2
Pik3r4
Spns1
P2rx4
Nudt22
Slc41a1
Crat
4933424M12Rik
Chmp6
Tff1
Fuom
1810014B01Rik
Tspan2
4930595D18Rik
Pitpnm2
Gas2l1
Adam9
Trav7d-4
Sirt2
Smarca4
Tnk2
Lipo3
Lta
Fdxr
Tmsb4x
Stx11
Plpp2
Cox10
Rnh1
Maf
Gpr34
Sec61g
Eef1akmt2
1110008P14Rik
Dcaf15
D030056L22Rik
Gid8
Gdi2
Setd6
Fbxl17
Dpp3
Ndufb7
Arnt
Usp38
Card19
Spg21
Exd2
Emp3
Rai1
Cd5
Mesd
Adss
Rae1
Ppil2
Cox11
Sdccag8
Cryl1
Ech1
Padi2
Airn
Pigl
Cox20
Atp6v0d1
Nr1d1
Trgv2
Tpm3
Ptpn11
Derl1
Ppwd1
Taf5
Ubxn2a
Sec11c
Ide
Farp1
Oaz1-ps
Pebp1
Mrpl4
Pex19
Exoc6b
Hcfc1r1
Camk2n1
Fth1
Rnf181
St6galnac6
Jun
Fam45a
Ncln
Ndufs5
Plekhb2
Prdx2
Fam160a2
Wdr46
Tmem192
Itgb7
Id2
Chd9
Ndufa11
Rnf11
Zbtb1
Vps36
Cst3
Gm6136
Tmem81
Gm13453
Cetn4
Ankrd35
Slc44a1
Grk3
D830050J10Rik
D6Wsu163e
Tmem86b
Sprn
Gm45371
Adgrg1
6430571L13Rik
Gm18101
Gm4924
Olfr56
Gm12256
Tefm
Ift43
Gm49180
Traj23
Capsl
3830403N18Rik
Prdx6
Mif4gd
Psmd1
Cycs
Adam19
Trav14n-3
Slc25a24
Mindy1
Psmd11
Ccr1
Synj2
AU020206
Zfp410
Acsl4
Elof1
Hspa4l
Aplp2
Arrb1
Mmgt2
Ndufa4
Hipk1
Cdc42se2
Micu3
Isca2
Hras
Impa1
Dap
Rock1
Snupn
Tmed3
Acsl1
Raf1
Gtpbp3
Tmem59
Glcci1
Scn1b
Ppfibp1
Vdac2
Golga7
Tgfbrap1
Spef2
Lsm7
Stk16
Vps29
Sec24a
Bckdk
Yipf4
Abhd15
Malat1
Fbxo42
Napa
Slc39a7
Ivns1abp
Nup88
Supt20
Tmbim1
Mavs
Mrpl21
Mocs2
Gtf3c1
