Tcf7
Slamf6
Nsg2
Tmsb10
Cd9
Tbc1d4
Aff3
Gm2682
Rps20
Klf2
Klf3
Rps24
Ccr7
Rps29
Rpl8
Rps27a
Ifi27l2a
Rps28
Rps18
Rpsa
Rflnb
Sh2d1a
Rps26
Rps27
Gm49180
Id3
Rpl21
Actn1
Rps8
Rpl13
Rps2
Rps16
Rplp0
Rps3a1
Rpl22l1
Asap1
Rps19
Clec2i
Bcl2
Thada
Ftl1
Gramd3
Rpl9
2310001H17Rik
Sostdc1
Rps7
Rpl35a
Ntrk3
Cd83
Adk
Rpl10a
Lef1
Nrgn
Dennd2d
Il6ra
Rpl35
Rps15a
Hmgn1
Rpl32
Cxcr5
Sell
Ighm
Patj
Rpl15
Ms4a4b
Limd2
Rpl28
Cd200
B630019A10Rik
Rps5
S1pr1
Marcksl1
Lrig1
Rpl18
Gm11454
Rpl3
Pou6f1
Rpl23
Rps4x
Art2b
A630014C17Rik
Gm8369
Prkcb
Socs3
Bach2
Crppa
Rplp1
Rpl36
Fgf13
Gm14718
Parp8
Il21
Trerf1
Ccdc28b
1700003C15Rik
Rnf19a
Gimap6
Rpl29
Evl
Rpl19
Prkcq
Bcl6
Rps23
8030451A03Rik
Gramd1b
Ephx1
Rps3
Rpl12
Itgb1
Cd81
Rplp2
Rpl26
St6gal1
Ccr6
Galnt9
Foxs1
Eef1b2
Dzip1
Atp1b1
Rpl22
Rpl37
Trbc2
Izumo1r
Hpcal1
Fau
Gltp
Gtf2i
Rps9
Btla
Dgka
Bambi-ps1
Rpl34
Slc28a2b
Btbd11
Gimap5
Igfbp4
Tox2
Tiam1
Rpl10
Bzw2
Nop10
1700019D03Rik
Cd27
Gm37065
Pdlim1
Ptprc
Sh3gl3
Camk2d
Trbv12-2
Rpl7
Gimap3
Cd160
Rps13
Tmem243
Gm11346
Cxxc5
Arhgap15
Ms4a6b
Wdr12
Slc9a7
Gpr18
Mgst2
Naca
Utrn
Rps21
Ces2c
Prkca
Ripor2
Satb1
Ica1l
Rapgef5
Hectd2
Gypc
Il6st
Gimap4
Dapl1
Mrpl52
Pgap1
Rpl39
Ldhb
Cd7
mt-Cytb
Gm45552
Fas
Rpl30
Rpl17
Tnc
Zfpm1
Rpl27a
Gm31718
Eef1a1
Gstp3
Tead3
Ly6c2
Rpl18a
Tspan32
Sesn3
Atp1b3
Ikbke
Ptger2
Fam43a
Capn3
Sidt1
Cpq
Il16
Slc9a9
Rpl41
Rapgef4
Pipox
Gm28809
Gm9885
Rps14
Ly6c1
Gm41609
Myb
mt-Co1
Trbv13-2
Lipa
Ptpn11
Sh2d3c
Txk
Mif
Zwint
Shld1
Hmgn3
Ext1
Rpl36a
Hdgfl3
Sccpdh
Tdrp
Bicdl1
Gm20400
Kcnq1ot1
Tox
AB124611
St8sia6
Slfn1
Ehd3
Gzmk
L3mbtl3
Vps13a
Trbv3
Rpl6
Eea1
mt-Atp8
Stk39
Ankrd37
Stat5b
Pcbd2
Scml4
Ddb2
Faah
Gm16565
Tespa1
Ears2
Pacsin1
Mboat1
Gm47957
1700030C12Rik
5830468F06Rik
Eid2
1810055G02Rik
Elk4
4930417O13Rik
Chd6
Casp4
Arhgef3
