Il13
Il1rl1
Plac8
Il4
Gata3
Calca
Lgmn
1700061F12Rik
Gclc
Fgl2
Pparg
Il5
Il10ra
Areg
Gm20627
Cd200r1
Nfkb1
Kcnq5
Il6
Gm13522
Rpl37a
Ptpn13
Mns1
Epas1
Cysltr1
Ctla2a
Csf1
Pdcd1
Nfkbiz
Acvr2a
Nmur1
Rps9
Cyp11a1
Ier3
Zcchc10
Dusp16
Nck2
Coro2a
Tasp1
Jak2
Gadd45b
Ltb4r1
Paxbp1
Bmp7
Il10
Baz1a
Plxdc2
Ccr8
Gnaq
Ero1l
Gcnt1
Arl5a
Gfra4
Aff4
Serinc3
Myo6
Mt1
Dnajc6
Il9r
Plcl1
Cd53
Aldoa
Tm7sf3
Foxp1
Lpcat2
Gm13219
Sytl2
Il7r
Cd200r3
Ccl24
Il2rg
Rnf128
Nfkbia
Tyms
Ndfip1
Slc7a8
Zfp36
9230102O04Rik
Akr1c18
Samsn1
Galnt3
Rps6ka5
Specc1
Tnfsf8
Jup
Alox5ap
Litaf
Tpd52
Rpsa
Kit
Rbpj
Hilpda
Inpp4b
Chn2
Hdc
Gm13218
Degs1
Als2
Nkg7
Myo1e
Klrg1
Gm13481
Lztfl1
Neb
Plk3
Lgals3
Lat2
Icosl
Dleu2
Cd40lg
Oit3
Adam33
Rnf130
Cst7
Igfbp7
Zeb2
Tspan13
Pitpnc1
Ifitm3
Ptgir
Glul
Elovl5
Sh3bgrl3
Trgv2
Skap1
Itm2c
Ifitm2
Cxcr6
Lgals7
Sorl1
Cish
Tmsb4x
Caly
Impa2
Dyrk3
Camk2n1
Zyx
Sh2b1
Rgs1
2410006H16Rik
Lman1
Pik3ap1
Gm41414
Nr3c1
Lgals1
Phgdh
Eef1a1
Ctsc
Btg1
Sema4a
Lif
Tgfb1
Fam78b
Tnfrsf18
CAAA01147332.1
Bcar3
Gm12214
Slc6a4
A330093E20Rik
Itk
Smco4
Il17rb
Ptms
Cd200r4
Nrp1
B630019A10Rik
Tmtc2
Calcrl
Dlg2
Rasgrp4
Gnb2
Kdm1a
Lag3
Ccl1
Dmxl2
Zfp536
Nr4a1
P2ry14
Tsc22d3
Dusp1
Nedd4
Gsn
Jdp2
Rab20
Sh3rf1
Ppic
Xlr4a
Dnase2a
Zrsr1
Raph1
Dok2
Lig1
Dusp10
Nrros
Rac1
Tmem273
Ptpn3
Eef2
Car8
Foxb1
Galc
Il2ra
Neurl3
Egr1
Atf3
Exoc3l
Gpt2
Vrk1
Cobll1
Mtmr10
Cldnd1
Adarb1
Gm43042
Plec
Plin2
Uhrf2
Bmpr2
Bhlhe40
Orc6
4930412O13Rik
Adck5
Laptm5
Col18a1
Itm2a
Mcub
Stk17b
Metrnl
Gabarapl2
4932438H23Rik
Calm3
Cass4
Serpinb6a
Ppp1r14b
Vdr
H2aj
Gm42620
Spin1
Tnfrsf11a
Fez1
Tmem98
Castor1
Impg1
Gm29243
Aprt
Cnnm2
H2-K1
Mrpl33
Abhd14a
Rab4a
Shtn1
Palld
4930549P19Rik
Tent5a
Fam185a
Padi2
Klf7
Ipmk
Hspa8
Fam107b
Rbfa
I730030J21Rik
Hhex
Prxl2a
Lyn
Fkbp5
Atp8b4
Rhof
4931406C07Rik
Csrnp1
Abhd14b
Nceh1
Arhgef28
Cxcl2
Gramd4
Tagln2
Klf6
Akr1c12
Gm13256
Zfp36l2
Pim1
Tox
Sv2c
Hivep2
Lpin1
4921511C10Rik
Ifrd1
Ccnd2
Lin54
Nt5c
Rps2
Ash2l
Ugcg
Auh
Srgap3
Mboat7
Hlf
Kif3a
Gm43305
Gtpbp8
Dip2b
Arl4c
Pdia3
Herc1
Mt3
Pxdc1
Rpl41
Nucb1
Samhd1
Btbd19
Prr7
Adamts3
Tank
Junb
Psen2
Eml2
Tnfsf9
Mt2
Acaa1a
Ubash3a
Ldlrad4
Ppm1j
Grin2d
Ets2
Cmpk1
Gas7
Stx3
Ints4
Fos
Cd2
Ikzf1
Rps6ka1
Cd52
Acp5
Prkcq
Cdca4
Ikbkb
Id2
Cd27
Acads
Naip2
Perp
Akr1b8
Ier5
Ndufv1
Ypel2
5430427O19Rik
Ctsz
Gm47922
Pde7b
Enah
Abcb9
Ptma
Fabp5
Lsm14b
Vat1
Srgn
Pou2f2
Gm32036
Sik3
Irf2bp2
Tbc1d10b
Wls
Osbpl5
Dennd5a
2700097O09Rik
Smim3
Fosl2
Osbpl9
Nfkbid
Gm36738
Gpr174
Ppp2r5a
Adam8
Fndc3a
Naip5
Ptpn7
Lsm1
Gpi1
Atxn1
Manbal
