Ifit1
Ifit3
Rtp4
Ms4a4b
Ifng
Ctsw
Xcl1
Nkg7
Ccl5
Cxcr3
Mx1
Usp18
Zfp683
Epsti1
Cmpk2
Ifi208
Itga1
Isg20
Klrc1
Tbx21
Isg15
Irf7
Ifi206
Trim30a
Rsad2
Gm12250
Ccl4
AW112010
Ifitm10
Ifi213
Ly6a
Ifi47
Bst2
Xaf1
Zbp1
Klrd1
Ifit3b
Mx2
A930037H05Rik
Slamf7
Rnf213
Ddx60
Irgm1
Cd7
Lgals3
Rai14
Slfn1
Oas3
Phf11c
Fhl2
Itgb1
Nlrc5
Adgre5
Stat1
Arl4d
Psmb8
Gm8995
Hsh2d
Irf1
Ifi203
Dhx58
Ctsd
Ifi27l2a
Anxa1
Ifi204
E130102H24Rik
Ppp2r2c
Klrc2
Erp27
Kcnj8
Dapk2
Gm11539
Amn
Rps3a3
Phf11d
Gm49216
H2-T22
Ddx58
Sh3bgrl3
Psmb9
Ccl1
Ifi214
Ifih1
Ms4a6b
Gbp2
Klrk1
B2m
Gm24157
Ifitm3
Slfn8
Rcn1
Crybg2
Ifi209
Tmsb10
Baiap3
Phf11b
Gimap7
Themis
Zyx
Gm20559
Trim34a
H2-Q6
Gimap3
Gm4759
Slfn5
Irf9
Jaml
H2-Q7
Psme1
Nsmaf
Chd7
Pde7a
Gm37068
Gm16754
Gm24208
Gm30214
Ralyl
Asphd2
Gm18029
Gm20762
Cdc14a
Serpinb9
Rac2
Hspa1a
Gm45193
Ifi211
Psmb10
Apobr
Gm40304
Hsph1
Actr3
Txnip
Iigp1
Nedd9
Ppp3cc
Gm16573
Ifit1bl1
Tmem129
A330040F15Rik
Oas1a
H2-K1
Samd9l
Cd226
Mndal
Gbp3
Gimap6
Dtx3l
Ccnd3
Cd52
Fasl
Igtp
Gbp4
Tmem184b
Dnajc15
Slc25a13
Cd274
Sub1
Gm38118
Txlnb
Oasl2
Apobec2
Cdh1
Ifitm1
Pglyrp1
Herc6
Hsp90ab1
Itgb2
Ccnd2
Gm7854
Slc17a6
Tjp1
Wfdc17
Trgj2
Arl15
Hlx
Fcgr3
Gm38979
9230104M06Rik
Rps18-ps6
Gm18541
Ttll10
Lgals3bp
Anxa2
Sertad1
Gimap4
S100a6
Fam204a
Atp5o
Ccl3
Parp12
Sp100
Grap
Srsf10
H2-D1
Gimap5
Cd160
Ube2l6
1700010I14Rik
Pea15a
Gm16069
Gm28989
Itsn1
Gbp9
Prox2
Osgin1
E430018J23Rik
Katnb1
Dusp2
B4galnt1
Tspan3
Trim25
Ikzf1
Txndc9
Hsp90aa1
Jpt1
Ifitm2
Gbp8
Tor3a
Sap30bp
Sntb2
Rgs3
Zfp623
Pml
Phf11a
Id2
D830025C05Rik
Dnajb1
Pfas
B430305J03Rik
Gm48114
Gm20663
Gzmk
A530040E14Rik
Gm37470
Fam3b
Trgc4
Gm44226
Ect2l
4933424L21Rik
Rnf32
Asb5
Fam169a
mt-Rnr2
Herc3
Dlg1
Zfp36l2
3010003L21Rik
Hspa1b
Lilrb4a
Slfn2
Ascc3
Plcl2
Nusap1
Casp4
Rnf115
Dctn6
Daxx
Parp14
Serpina3g
Nfrkb
Sema7a
Gm20531
Ubc
Trav6-4
Copa
Ptpn6
Rnf114
Mitd1
Slc35f6
Morc3
2610037D02Rik
Gm19710
Dnajc19
Tor1aip2
Tap2
Gbp6
Nxt2
Csf2
Dock9
Stat4
Gbp7
Hspa8
Dclre1b
Gpm6b
Tbcel
Mrps25
Dnajc3
Crybg1
Gm14718
Lgals1
Ncbp1
Hspe1
Klhl26
Vipr1
Cfap61
Gm42917
Stc2
Gm20633
Gm6180
Mapt
Gm43471
Gm26586
Gm47806
Il2
Gm42567
Gm43057
Gm12758
Ncald
Gm48840
Plau
Gm43042
D430013B06Rik
Tbkbp1
9130015A21Rik
Evl
Arid1a
Tgtp2
Gfod2
4930556J24Rik
Cip2a
Gm10658
Trbj2-5
B4galt5
Psmd14
Efhd2
Fasn
Gtf2i
Trim26
Prpsap1
CT010467.2
Rhot1
Samhd1
Rad1
Cdkn2aipnl
H2-T24
Nmi
Prcp
H2-M3
Ripk2
Xdh
Ccdc32
Ablim2
Dtymk
Akna
Stat2
St3gal6
Mtpn
Dnaja1
Traf3ip2
Tsc1
Dpy19l3
Ms4a4c
Srbd1
D130040H23Rik
Shisa5
Cfl1
D930007J09Rik
Mbnl1
Stard9
Dnajc2
Atp8b4
Tep1
Casp1
Tmem163
Akt2
Tes
Lilr4b
Sytl2
Mfng
Gvin1
Cd99l2
Syne3
Ccdc66
Pgap1
Tmem183a
Prr12
Ly6c2
Hcst
Morn2
Cd48
Rcn2
Hip1r
Parp16
H2-Q5
Tedc1
Znfx1
Gjd3
Nrp1
Gbp10
Nim1k
Pih1d2
Gm13807
Gm10705
Mtfp1
4931403E22Rik
9230116N13Rik
Gm12989
Ccdc167
Gm2682
Gimap1
Kif13b
Snapc4
Rps13
Itpkc
Ifi35
Tmem106a
Gm20008
Trim30d
Stk32c
Gm2479
Vmn2r97
Rab19
Gm10044
Gls
Zfp930
Hars2
Bcl2
Ehbp1l1
Mad1l1
Mettl22
Perp
Smarcad1
Cd6
Plrg1
Ddx39
Ahcyl1
Pi4kb
Cwf19l2
Hip1
A430088P11Rik
Lime1
