Tmem176b
Tmem176a
Trgc1
Thy1
Ramp1
Aqp3
Tmsb4x
Il17a
Ckb
Trav14-2
S100a4
Lsp1
S100a11
Capg
Znrf1
Actn2
St6galnac3
Il17re
Cd226
Cxcr6
Rorc
Ltb
Rexo2
Il18r1
Sdc4
Adam12
Arl6ip1
Rps11
Gm24265
Cpe
Hnrnpll
Apol7e
Ap1s2
Ppp1r14c
Clic1
Cfl1
Ucp2
Ncor1
Tagln2
Snord13
Nebl
Serpinb1a
Ppia
Vax2
Ybx1
Tspo
Gpx1
Rps4x
Stk24
Itm2b
Chd9
Gmfg
Trav12-1
Fau
Id2
Igfbp7
Cd3g
Comt
S100a10
Cd3e
Rpl35a
Gng2
5830411N06Rik
Olfr60
Anxa2
Ndufa4
St8sia1
S100a13
Tnfsf14
Naca
Kcnmb4
Snord118
Rpl15
Cox5a
Serf2
Tab2
Prr5l
Macroh2a1
Il17f
Rpl18a
Rps3a1
Arl15
Smox
Lsm7
Rps15a
Il1r1
Rpl35
CT010467.1
Ccr6
Gm36723
Fam160a2
Hmgb1
Atp5h
Plcb4
Rpl28
Trbv5
Golim4
Trgv7
Emp3
Lgals3bp
Crmp1
Tomm7
Rftn1
Calm1
Csnk2b
Cox6b1
Cmc2
Xlr
Wdr95
Tma7
Rpl11
Paox
Rps26
Apol7b
Sugt1
Srek1ip1
Rpl37
Aprt
Top2b
Abhd15
Acpp
Plekhf1
Jaml
Gm17745
Prrt1
Fut8
Tex14
Uspl1
Asb2
Trgv3
Cfap74
Rpl26
Rpf2
Rnf43
Gm24407
Atp5g3
Ndufs5
Gm20069
Lmo4
Trgv4
Med13l
Tmem59
Timp2
Gnas
Blk
Eif3h
Podnl1
AC163703.1
St6galnac1
Mrps5
Gm37170
Fkbp3
Fam177a
Il23r
Rps28
Snrpd3
Rps14
H2-DMa
Psenen
Blm
Cby1
9930111J21Rik1
Rplp2
Cox5b
Cd96
Pfn1
Mtss1
Dynll1
Cmss1
D3Ertd751e
Lta
Ndufa2
Myl6
Actb
Trav8-2
Sumo2
Lpar6
Tsfm
Vipr2
Rbpj
Rasl11b
Rabgap1l
2810001G20Rik
Tgfbr2
Elob
Psmb8
A130023I24Rik
2810013P06Rik
Gpsm3
Oaz1
Mturn
St3gal3
Ficd
Mmgt2
Mrpl22
Atxn1
Gm38405
Ssbp3
Gm25360
Rnu12
Rps29
Serinc2
Ect2
1110046J04Rik
Ngrn
Rpl14
4933424M12Rik
Wbp1
Gm12256
Ly6g5b
BE692007
Dock2
Prr13
Trgc2
Ostf1
Lrrc25
Atp5mpl
Lysmd2
Gm15764
Ppp1ca
A630052C17Rik
Nol12
Luc7l3
Mif
Pomp
Pfdn5
Lgals1
Trerf1
Psmb3
Trgv2
Clec2d
Mgat5
Cpd
Fchsd2
Ech1
Zbtb37
Ndufb7
B330016D10Rik
4732465J04Rik
Dap
Nop10
Gm24497
Gm47769
Lrrc17
Atp6v0e
Kif18a
Riox2
Rpl22
Gm23444
Hlf
Myo1f
1810058I24Rik
Tgfbr3
Eif3f
Bin1
Vegfb
Ssb
Atp5j2
Supt4a
Acox3
Tmem126b
D530033B14Rik
Smyd2
Prr29
Atp5g1
Zfp157
Chchd4
Uqcrh
Cd3eap
Nr1d1
Poc1b
Eml5
Nkain2
Gm39323
A530088E08Rik
Fbf1
Rgs10
Bard1
Trappc2
Olfr56
Clip3
Arfip2
Rnf208
Pde11a
Gm9961
Ppib
Polr2k
Rnasek
Actr10
Ndufa3
Timm17a
Smad3
Trmt112
Ptprcap
Abi3
Slc22a15
Rhoa
Cnga1
Cox10
Gm31887
Tpgs2
Tmem50a
Nxnl2
Tnf
Gnai2
Dgkd
Clec12a
2810454H06Rik
Sestd1
Eef1b2
Alg12
Rack1
Fpgs
Crip1
Hsbp1
Adam19
1700012D14Rik
Tmem263
Tff1
Dynlrb1
Selenom
