Il17a
Junb
Bhlhe40
Emb
Tnfaip3
Nr4a1
Vps37b
Nr4a3
Ctla4
Odc1
Rgcc
Pnrc1
Dusp5
Gpr132
Ifrd1
Ifngr1
Btg2
Arhgap31
Ier2
Gadd45b
Icos
Furin
Ier5l
Rora
Fosl2
Tgif1
Eif1
Lmnb1
Nfkbia
Ramp3
Btg1
Rnf125
Coq10b
Cdkn1a
Zfp36l2
Cxcr4
Fam110a
Dennd4a
D16Ertd472e
Gch1
Rgs2
Ell2
Cytip
Prdx6
Arid5a
Tmem176b
Uhrf2
Crem
Il17f
Il18r1
Dusp1
Rrad
Bcl2a1d
Neurl3
Sik1
Fth1
D8Ertd738e
Cwc25
Cebpb
Grb7
Itk
Ppp1cc
Pde4b
Sh2d2a
Tmem176a
Orai1
Trmt61b
Per1
Sla
Sap30
Got1
Cnbp
Snhg15
Cd40lg
Clint1
Trps1
Klf6
Arap2
Nfil3
Tnfsf11
Nr3c1
H3f3b
Gm26740
Zc3h12a
Ern1
Gna13
Arpc3
Tnfsf8
Siah2
Phlda1
Stk17b
Dgat1
Ikzf3
Znrf1
Cyp51
Actn2
Slc22a15
Il7r
Gm26532
Hilpda
Pim3
Il2rb
Rgs1
Jund
Hspa8
Atad2
Tex2
H2az1
Pde4d
Grap2
Nmrk1
Relb
Tgfbr2
Skil
Nfkbid
Ubald2
Pim1
Shld1
P2ry10
Slamf1
Nfkb1
Top2b
Gm28592
Nup98
Sub1
Trim36
Il23r
Clk1
Lpxn
Kdm2b
Mpp7
Atp5md
Ddx3x
Krt83
Tob2
Lsp1
Zfp36l1
Saraf
Hmgcr
Lmna
Hif1a
Bambi
Il1r1
Trav14-2
Rheb
Slc16a6
Smox
Tnfrsf1b
Dnaja1
Nebl
Tnfrsf25
Trat1
Ifngr2
Akap13
Klf4
Ptpn22
Abcb1b
Tut4
Ostf1
Tspo
Gramd3
Lmo4
Lat
Aff1
Nrip1
Oaz1
5430416N02Rik
Cdk11b
Irf2bp2
Ablim3
Trgc1
Ssh2
Suco
Cenpa
Slc35d1
Aebp2
Anxa2
Sipa1l1
Eprs
Kdm7a
Gpr183
Polg2
Hspd1
Insig1
Klrk1
4932438A13Rik
Cpm
Csrnp1
Gabpb1
Emd
Prr7
Cited2
Hivep2
Dipk2a
Marchf3
Stat5b
Mtss1
Rnf19b
Nr4a2
Rorc
Bcl2a1b
Kcnmb4
Stx11
Cd82
Stk24
Map3k14
Btg3
Ppp1r15a
Ppm1k
Traf1
Dusp4
Nudt4
Atf4
Gna15
Zeb2
Tmem64
Kras
Smchd1
Grasp
Zcchc14
Wbp11
Ncor1
Gm15511
Tax1bp1
Gdi2
Ube2s
D030056L22Rik
Prr29
Ppp1ccb
Slc38a2
Cmip
Fosb
Tinf2
Ube2j1
Samsn1
Rab10os
Herpud1
Cd164
Btaf1
Pde7a
Tpm4
Ric1
Utf1
Satb1
Golm1
Avpi1
Msn
Psap
Itpr1
Taf4b
Arf4
Mxd1
Srsf2
Ier5
Sgip1
Kdm6b
Pgm2l1
Cd28
Elmsan1
Jmy
Bik
Atp6v0d1
Sinhcaf
Rnf166
Cdkn1b
Isy1
Fasl
Adgrg1
Smad7
Il17re
Med14
Gm43411
Zc3hav1
Sgtb
Ifnar1
Cxcr6
Rel
Sfpq
Mrps30
Dock2
Isg15
Carnmt1
Ubc
Rab8b
Amz2
Hk2
Trav7-4
Ski
Cul2
Gpr171
Flna
Prrc2c
Dennd4c
Chd1
Irf4
Trav12-1
Srgn
Zeb1
Hmgb2
Pdcd1
Tsc22d3
Ckb
Ccr6
Psmb5
Mdn1
Aqp3
St8sia1
Sdc1
Ankrd6
Rbpj
Atp1b3
