Nkg7
AW112010
Foxp3
Ly6a
Ccl5
Ctsw
Glrx
Ccr5
Cxcr3
H2-K1
Hopx
H2-D1
Gm6637
Lgals1
Ccr2
S100a10
Gimap3
Cebpb
Mmp9
Il2rb
Anxa1
Itm2b
Ifitm10
Entpd1
Gzmb
Gimap4
Itgae
S100a6
Vim
Ifng
Cdkn2c
Rcbtb2
Zfp472
Rhoc
Ifngr1
Slc39a1
Kif22
Dennd4a
Sh3bgrl3
Cd52
Vopp1
Havcr2
Frmd5
2700099C18Rik
Gbp3
Ankrd26
Emp3
Adap1
Ly6c2
Cmtm7
Leprotl1
Ahnak
H2-Q7
Racgap1
Laptm4b
Rln3
Crip1
S100a4
Nrm
Klrg1
Klrc1
Spc24
Kif11
Zfp683
Cks1b
Klrd1
Izumo1r
Rapsn
Clic1
Arl5a
Pfn1
H1f5
Itga1
Kremen2
Cenpf
Gm4316
Pclaf
St14
Spc25
Actg1
Lrrcc1
Itprip
Scrn3
Dusp7
Ctla4
Jade1
Irf2bpl
H2ac8
Ifi47
Hip1
Rap2a
Ess2
Hmbs
Itgb8
Gimap7
Actb
Ly6e
Arhgdib
Anxa4
Cd2
Ube2c
Sgo2a
Arhgap11a
Knl1
4930539J05Rik
Hacd4
Clspn
Igflr1
Siglece
B3gnt9
Alox8
H2ac10
Mxd3
Pbk
Esco2
Cdc45
Eaf2
Gm49864
Gm30541
Gm36995
Rps24-ps3
Uprt
Pglyrp1
Cutc
Med7
Cdc16
Lcp1
Rnf187
Calm2
Zfp260
Birc5
Prim2
Ikzf2
Stx12
Nudt7
Arl4d
Pi4kb
Ccnb2
2900041M22Rik
H2bc11
Ccna2
Hrh2
Mthfsl
Tmem205
Mdm1
Gas7
Slc36a4
4921531C22Rik
Cptp
Oas1a
Ect2
A330023F24Rik
Galnt12
Armt1
Ppm1m
Kif18a
Htt
Ms4a4b
Trbv3
Actr3
Kdm7a
Psmb8
Rpa2
Ctla2a
Rnf146
Epsti1
Dtx3l
Ggct
Trav1
Alg9
Fuca2
Il10
Gimap6
Snx9
Selplg
Nfic
Osm
Sod2
Ppp3r1
Mrpl41
Agap2
H2bu2
Ptpn18
Pld3
Ccdc47
Stradb
Gtpbp4
Gm6712
Mmd
Dnal4
Cd81
Ctsd
Cep85
BC005624
