Rplp0
Rps24
Rps5
Rps27a
Tcf7
Rps27
Rpl13
Rps18
Rps20
Rps28
Rps7
Rpl19
Rps2
Rps19
Rpsa
Rps13
Rpl18
Rpl18a
Rps15a
Rps26
Rps3a1
Rps3
Klf2
Rps16
Rps4x
Rpl32
Rpl10a
Rpl8
Fau
Rpl39
Rpl21
Tmsb10
Rpl9
Rpl35
Rps23
Rps9
Rpl37
Rps29
Trat1
Rpl23
Ccr7
Rpl34
Rplp2
Rpl30
Slamf6
Rps11
Rpl35a
Nsg2
Rpl29
Rpl27a
Rpl3
Eef1b2
Rpl41
Rpl11
S1pr1
Rps8
Rpl36
Rplp1
Rpl22l1
Rpl28
Rpl22
Gm2682
Gramd3
Naca
Rpl37a
Rpl26
Klf3
Ifi27l2a
Ms4a4b
Sell
Rpl38
Rpl12
Rpl17
Trbv13-2
Ftl1
Rpl6
Rasa3
Rpl10
Rflnb
Rpl15
Actn1
Hmgn1
Igfbp4
Dusp10
Npm1
Gm8369
Tpt1
Shld1
mt-Rnr2
Ighm
Atp1b3
Aff3
Gimap6
Mir6236
Dennd2d
Pdlim1
Klhl6
Rpl7
Il7r
Tdrp
Dgka
Rps21
Gm9385
Bzw2
St6gal1
Gm45552
1700003C15Rik
Rps12
Ccm2
Rpl14
Sap30
Ripor2
Eif3f
Satb1
Il6st
CT010467.1
Rps14
mt-Rnr1
Atp1b1
St6galnac1
Slfn1
Rps6
Frat2
Clec2i
St8sia6
Sidt1
Trib2
Utrn
Btf3
Rpl36a
Srpk1
Adk
Patj
Il6ra
Trbc2
Nsa2
Dgkh
Lef1
Xaf1
2810006K23Rik
Lcmt2
Rpl7a
Idh2
Gpr18
Itga6
Gmfg
Gm37065
Dapl1
Bambi-ps1
Pdlim4
Gimap7
Itgb1
Rpl4
Gm19951
Bcl2
Ctse
Cblb
Snhg1
Limd2
Supt6
Prrg1
Ifngr2
Cmss1
Uba52
Il2
Hpf1
Hbs1l
Abcg2
mt-Cytb
Alkbh1
Cd96
Ndufa10
Gm9794
Rab3ip
A930005H10Rik
Gas5
Hexb
Fam49a
5830405F06Rik
Pinx1
Gm20324
4833407H14Rik
Il17ra
Snrpd3
Gm13611
Haus1
Cd7
Mrpl34
Tcf20
Crlf3
Faah
1700025G04Rik
Impdh2
Rpl36al
Rpl31
Rpl23a
Frat1
Sptssa
Zfp318
Lysmd2
Mafk
Appl2
Hsdl1
Gm28661
Slpi
Rnf32
Gm15708
Zfp626
Tmem147os
Tspan32os
Tmem108
Hmgb1-ps8
Sox4
Rreb1
Psme2
Fbxo32
Tex14
Dmac2
Evl
Tmem241
Fancm
Gm7912
Pacsin1
Ly6c1
Rrp15
Elovl6
Fgf13
Rtp4
2310009B15Rik
Trav7-3
Asap1
Senp5
Nme2
1500011B03Rik
Rps10
Glrx5
Trbc1
Rack1
Retreg1
Hpcal1
Atf1
Cct7
Chd1
Atic
Lsm3
Gm12185
Izumo4
Snhg8
Romo1
Slc25a36
Stk38
Cdk8
Rps25
Srsf10
Pole4
Gm26510
Arhgap15
Cd55
Jmjd6
Rpl13a
Rubcn
BC065397
Morf4l2
Zbtb5
Gm16196
2410006H16Rik
Gm4013
Ifit1
1700012D14Rik
Rabl6
Rpl27
Stk4
Tyw1
Cdc25b
Larp1b
Lmbr1l
Rps10-ps1
