Foxp3
Glrx
Gm6637
AW112010
Ccr2
Gzmb
Itm2b
Ly6a
Itgae
Klrg1
Il2ra
S100a6
Ctla4
Izumo1r
Cmtm7
Vim
Ly6e
S100a10
Tigit
Capg
Rapsn
Socs2
Fgl2
Mmp9
Havcr2
Hopx
Tnfrsf9
Ccr5
Icos
Srgn
Snx9
Rln3
Arl5a
Camk2n1
Tnfrsf4
Itgb7
Ikzf2
Ctla2a
Pim1
Ncmap
Cyb5a
Rap1b
H2-D1
Actg1
Saraf
Ccr1
Jcad
Shisa5
Cebpb
Ddit4
Frmd5
Pglyrp1
Mmd
Neb
Ubl3
Cd2
Tnfrsf18
Cd5
Fxyd5
Krtcap2
Il12rb1
Actb
N4bp1
Cpm
Pmm1
Pvrig
Cd72
Gm36995
Trav14-3
Ankrd55
Matn2
Cytip
Lgals1
Apol9b
F2rl2
Lamc1
Trp53inp1
AU020206
Smco4
Matk
Abracl
Sesn1
Selenop
Inpp4b
Ky
Arl5c
Serinc3
Itgav
Slc15a3
Ahnak
Sdcbp2
Ifngr1
Dusp4
Peli1
Lbh
Gimap3
Ets2
Pacs1
Gm2a
Ctsb
Selplg
Gpr55
Zfp36l1
Mxd1
H2-K1
Ighm
Csrp2
Slc17a8
Ctla2b
Npc2
Ltb4r1
Rin2
Entpd1
2210408F21Rik
Itgb8
Laptm4b
Gpx1
Ptma
Cd6
Il10
Gstp1
Trav12-3
Tctex1d1
Tnfrsf1b
Lcp1
Slc9a3r1
Mxi1
Hilpda
S100a4
Trav13n-4
Swap70
Rnase4
Pmepa1
Cd80
Flicr
Ccr3
Gimap7
Ipcef1
Arnt2
Fam129a
A430093F15Rik
Sdf4
Lrrc32
Cd74
E030030I06Rik
Dnajc1
Psen2
Gimap4
Rap2a
Ptprj
Ypel3
Lclat1
Lyn
Myadm
Wdr78
Mbd2
Kctd12
Arl4c
Jund
Grn
Laptm5
Cdk2ap2
Plin2
Samhd1
Cd37
Cep112
Slc66a2
Slc36a3os
Gm26740
Glipr1
Glcci1
Rab11a
Pfn1
Cap1
Morrbid
Rac2
Myo3b
Il2rb
Apol9a
Arl6ip1
Hsd11b1
Dgat1
Rbm24
Leprotl1
2900026A02Rik
Wnk1
Cd47
Snx20
Mthfsl
Msrb3
Malt1
Gbp3
Lcp2
H1f0
Ifi209
C1qtnf6
Crip1
Ccrl2
Dst
Cnp
Vasp
Mt1
Bid
Retreg1
Lrrc25
Tpp2
Aopep
Itgb5
Arhgdib
Clic4
Nt5e
Vill
Il4ra
Tspan32
Lmna
Ifi27l2a
Plaat3
Mcl1
Zfp36
Mast3
Bmp2k
Arhgap31
Lats2
Foxo1
Gpr25
Bcl3
Oprm1
M6pr
Sntb1
Asxl1
Cd52
Myh9
Snx2
Picalm
Atp8a2
Phf11b
Rhoc
Tmem154
Gm4070
Malat1
Cyba
Sypl
Tnfrsf8
Ubash3b
Crlf3
Anxa11
Ptk2b
Cd27
Syngr2
Dctpp1
Slc2a3
Bmyc
Sfn
Ctsa
Vps54
Angptl2
Rgs16
Hsbp1l1
Gbp5
Dusp1
Miat
Rbl2
Cst7
Ubl5
Cited4
Ermn
Ppdpf
Itih5
Snx18
Adap1
Prdm1
C2cd4b
Cyth4
Setbp1
Maf
Hip1
Hacd4
Map1lc3b
Gm45716
Trp53i11
Ptpn5
Ifi47
Mob3a
Gbp7
Selenow
Crem
Ctss
Alcam
Icam1
Tmem163
Abi3
Rps6ka1
Muc1
Galnt6
Jun
Clic1
Mthfsd
Serpinb1a
2210417A02Rik
Sla2
Ssbp4
Aurkb
Got1
Arid5b
Rad51b
Tmem64
Cflar
Itpr2
Syt11
Mier1
Epcam
Pik3c2a
F730043M19Rik
P4ha1
Trf
Gpr34
Emp3
1110008P14Rik
Sema4b
Crip2
Agap2
Nmb
Ndfip1
Gm48236
Fam20a
Mt3
Irf8
Spats2
Sh2d2a
Prdx1
Gm1966
BC004004
Ncoa3
Sh3bgrl3
Lamtor4
Tent5a
Agfg1
Lrba
Il10ra
Mmp14
Cpd
Man1a
Arf5
Fuca2
1190005I06Rik
Rapgef6
Gm12709
Adam8
Cd55
Exoc2
Lag3
Jak3
Tmsb4x
Cdc42
Plp2
Vamp5
Ggta1
Igtp
Txnip
Pkm
Prkch
Plxna1
Rps27l
Fam45a
Eif4e3
Ube2b
Rnaset2b
Zfp52
Kcna3
Rasgrp1
Necap2
Gimap6
Lgmn
Uhrf1bp1l
Septin11
Ecm1
Sit1
Odc1
Slfn9
Ubald2
Ccl3
Neil1
Ica1
Capn1
Rrad
Arhgap4
Nrip1
Egr1
Fmnl3
Raet1e
Ctsd
Pkp3
Wdr41
Tpr
Sat1
Commd4
St14
Selenok
Runx2
Atp6v0a1
Slc37a3
Mmp25
Vamp3
Nkg7
Samsn1
1810026B05Rik
1600014C10Rik
Traf1
Lrrc8c
Tgfbr1
Atp6v1e1
Gnb2
Wls
Ccng2
Reps1
Arrdc3
Lsm8
Med7
Foxn3
Tha1
Ccnc
Rab20
Ociad2
Mrgpre
Tgoln1
Cox20
Trav4-4-dv10
Dbndd2
Arf1
Tsc22d3
Gna15
Fam107b
St3gal4
Atp2b1
Sema4d
Iigp1
Vsir
Tcp11l2
Spryd7
Msrb1
Tmc8
Tdrkh
Stat1
Acbd5
Sdc4
